year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	222911.0		31571.0	6218.0	4057.0	2011.0	150.0	25353.0	11588.0	13765.0				24.0	607.0	369.0		29.0			5.0	徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1986	216491.0		30409.0	6358.0	4305.0	2038.0	15.0	24051.0	11756.0	12295.0				18.0	347.0	263.0		35.0	6.0		2.0	徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1987	202058.0		29437.0	6404.0	4350.0	2041.0	13.0	23033.0	11764.0	11269.0				19.0	234.0	89.0		34.0	3.0	2.0	1.0	徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1988	187501.0		28706.0	6615.0	4477.0	2135.0	3.0	22091.0	10883.0	11208.0				25.0	256.0	68.0		24.0		2.0	1.0	徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1989	184075.0		28738.0	7788.0	5176.0	2605.0	7.0	20950.0	11130.0	9820.0				40.0	189.0	49.0		26.0	1.0		1.0	徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1990	177628.0		29069.0	8016.0	5150.0	2850.0	16.0	21038.0	9681.0	11357.0	15.0		15.0	31.0	212.0	44.0		27.0	1.0		6.0	徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1991	150499.0		26964.0	7574.0	5438.0	2132.0	4.0	19324.0	8632.0	10692.0	66.0		66.0	21.0	208.0	38.0		31.0			2.0	徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1992	133596.0		26617.0	7386.0	4842.0	2535.0	9.0	19231.0	8574.0	10657.0				9.0	342.0	14.0		27.0	1.0	2.0		徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1993	133503.0		25396.0	7740.0	4786.0	2933.0	21.0	17656.0	7927.0	9729.0				4.0	180.0	23.0		39.0	2.0	1.0	7.0	徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1994	127712.0		24182.0	8391.0	5741.0	2612.0	38.0	15791.0	7053.0	8738.0				1.0	184.0	64.0		54.0	10.0		2.0	徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1995	115713.0	24236.0	24060.0	8747.0	5150.0	3579.0	18.0	15309.0	6835.0	8474.0	4.0	1.0	3.0		176.0	74.0		54.0	17.0	3.0	1.0	徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1996	102300.0	24074.0	23977.0	7633.0	4133.0	3490.0	10.0	16344.0	7050.0	9294.0				1.0	96.0	52.0		40.0	13.0	4.0		徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1997	101248.0	23150.0	23058.0	6641.0	3373.0	3265.0	3.0	16417.0	7000.0	9417.0				1.0	91.0	76.0		68.0	14.0	1.0		徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1998	102451.0	19633.0	19558.0	6059.0	3071.0	2985.0	3.0	13499.0	5117.0	8382.0					75.0	75.0		71.0	11.0			徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
1999	98805.0	21498.0	21433.0	5735.0	3200.0	2533.0	2.0	15697.0	5627.0	10070.0	1.0	1.0		2.0	63.0	60.0		47.0	21.0			徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
2000	88713.0	20145.0	20098.0	5254.0	2874.0	2369.0	11.0	14844.0	5044.0	9800.0					47.0	44.0		84.0		4.0		徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
2001	89840.0	17179.0	17131.0	5106.0	2858.0	2242.0	6.0	12025.0	3895.0	8130.0					48.0	44.0		61.0		3.0		徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
2002	91997.0	19468.0	19435.0	5964.0	3807.0	2153.0	4.0	13471.0	4471.0	9000.0					33.0	16.0		50.0				徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
2003	80335.0	17922.0	17806.0	4935.0	3152.0	1777.0	6.0	12870.0	4724.0	8146.0	1.0		1.0		116.0	104.0		58.0				徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
2004	82157.0	18007.0	17927.0	4719.0	3012.0	1699.0	8.0	13208.0	4551.0	8657.0					80.0	79.0		50.0				徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
2005	76000.0	16089.0	16019.0	4268.0	2928.0	1333.0	7.0	11750.0	4313.0	7437.0	1.0		1.0	1.0	62.0	60.0	7.0	51.0				徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
2006	77525.0	15640.0	15588.0	4192.0	2874.0	1313.0	5.0	11396.0	4490.0	6906.0				1.0	51.0	45.0		35.0				徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
2007	72000.0	15965.0	15914.0	4204.0	2800.0	1400.0	4.0	11706.0	4000.0	7706.0	4.0	4.0			51.0	44.0		31.0				徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
2008	77000.0	15585.0	15527.0	4409.0	2900.0	1508.0	1.0	11118.0	4321.0	6797.0					58.0	41.0		39.0				徳島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117980&fileKind=0
