year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	145964.0		4511.0	2904.0	1476.0	1418.0	10.0	1606.0	721.0	885.0	1.0		1.0	4.0	27.0	4.0		225.0			4.0	高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1986	155947.0		4967.0	2957.0	1351.0	1587.0	19.0	2010.0	957.0	1053.0				5.0	15.0	4.0		215.0			11.0	高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1987	155043.0		4575.0	2382.0	921.0	1459.0	2.0	2192.0	1153.0	1039.0	1.0		1.0	2.0	7.0	3.0		209.0			2.0	高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1988	148259.0		4414.0	2308.0	813.0	1494.0	1.0	2105.0	1100.0	1005.0	1.0		1.0	6.0	1.0	1.0		195.0	1.0		9.0	高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1989	145121.0		3692.0	2001.0	850.0	1147.0	4.0	1687.0	810.0	879.0	2.0		2.0	1.0	1.0	1.0		161.0			6.0	高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1990	143000.0		3824.0	2222.0	840.0	1380.0	2.0	1602.0	750.0	852.0								162.0			1.0	高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1991	131000.0		3789.0	2154.0	870.0	1280.0	4.0	1635.0	800.0	835.0				1.0				171.0			4.0	高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1992	119300.0		3823.0	2146.0	871.0	1274.0	1.0	1677.0	780.0	897.0				1.0	3.0	2.0		159.0				高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1993	123494.0		3907.0	2184.0	845.0	1337.0	2.0	1723.0	788.0	935.0				1.0	2.0	1.0		158.0			1.0	高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1994	125727.0		3719.0	2331.0	950.0	1377.0	4.0	1388.0	560.0	828.0				2.0	1.0	1.0		248.0				高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1995	107591.0	3736.0	3732.0	2248.0	934.0	1312.0	2.0	1484.0	406.0	1078.0				1.0	1.0		2.0	288.0		1.0		高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1996	99622.0	3624.0	3621.0	2091.0	771.0	1319.0	1.0	1530.0	435.0	1095.0					3.0			281.0			2.0	高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1997	102753.0	3423.0	3420.0	1934.0	774.0	1160.0		1486.0	427.0	1059.0				1.0	2.0			204.0				高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1998	97817.0	3366.0	3364.0	1904.0	708.0	1195.0	1.0	1460.0	462.0	998.0					2.0	1.0		186.0			1.0	高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
1999	83378.0	3417.0	3416.0	1981.0	849.0	1127.0	5.0	1435.0	404.0	1031.0				1.0				195.0				高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
2000	73123.0	3309.0	3307.0	1816.0	818.0	995.0	3.0	1491.0	336.0	1155.0					2.0			192.0				高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
2001	63689.0	2585.0	2585.0	1467.0	603.0	863.0	1.0	1118.0	262.0	856.0								183.0				高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
2002	67303.0	3209.0	3208.0	1632.0	770.0	861.0	1.0	1576.0	393.0	1183.0					1.0			184.0				高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
2003	64960.0	3262.0	3258.0	1520.0	607.0	910.0	3.0	1738.0	641.0	1097.0					4.0	3.0		167.0		4.0		高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
2004	66490.0	3345.0	3344.0	1497.0	717.0	776.0	4.0	1847.0	721.0	1126.0					1.0			159.0		4.0		高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
2005	63282.0	3295.0	3292.0	1555.0	649.0	898.0	8.0	1737.0	660.0	1077.0				1.0	2.0	1.0		146.0			3.0	高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
2006	60498.0	3444.0	3443.0	1501.0	685.0	812.0	4.0	1942.0	847.0	1095.0				1.0				145.0				高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
2007	63638.0	3367.0	3366.0	1444.0	653.0	789.0	2.0	1922.0	818.0	1104.0					1.0			129.0				高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
2008	64478.0	3372.0	3371.0	1490.0	676.0	807.0	7.0	1881.0	778.0	1103.0					1.0	1.0		128.0				高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
2009	58783.0	3397.0	3397.0	1530.0	656.0	868.0	6.0	1864.0	732.0	1132.0	3.0	2.0	1.0					128.0				高知	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117983&fileKind=0
