year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	78282.0		8950.0	4067.0	2320.0	1740.0	7.0	4880.0	3600.0	1280.0	3.0		3.0	20.0	75.0	9.0		1.0			8.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1986	74193.0		7830.0	3130.0	1670.0	1455.0	5.0	4684.0	3120.0	1564.0	16.0	7.0	9.0	17.0	69.0	21.0		4.0		3.0	11.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1987	72317.0		7870.0	2739.0	1416.0	1321.0	2.0	5106.0	3389.0	1717.0	25.0	16.0	9.0	6.0	47.0	14.0	5.0	3.0		2.0	16.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1988	67099.0		6884.0	2487.0	1183.0	1300.0	4.0	4371.0	2690.0	1681.0	26.0	10.0	16.0	9.0	33.0	15.0	3.0	2.0		1.0	9.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1989	69738.0		7147.0	2938.0	1274.0	1660.0	4.0	4186.0	2605.0	1581.0	23.0	12.0	11.0	4.0	22.0	13.0					7.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1990	67481.0		6403.0	3153.0	1295.0	1852.0	6.0	3220.0	2293.0	927.0	30.0	8.0	22.0	6.0	36.0	21.0		3.0			3.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1991	71820.0		6285.0	3344.0	1386.0	1951.0	7.0	2937.0	2171.0	766.0	4.0	4.0		5.0	26.0	5.0		1.0		5.0	4.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1992	70650.0		5918.0	3370.0	1571.0	1798.0	1.0	2534.0	1868.0	666.0	14.0	11.0	3.0	4.0	12.0	2.0				11.0	6.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1993	78330.0		6194.0	3630.0	1972.0	1654.0	4.0	2559.0	1941.0	618.0	5.0	1.0	4.0	6.0	10.0	3.0		1.0		14.0	7.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1994	59896.0		6235.0	3838.0	1318.0	2510.0	10.0	2390.0	2030.0	360.0	7.0	7.0		3.0	18.0	13.0		1.0		9.0	11.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1995	64484.0	6139.0	6121.0	3855.0	1377.0	2472.0	6.0	2266.0	1791.0	475.0				7.0	11.0	3.0		5.0		8.0	4.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1996	42492.0	6264.0	6259.0	3976.0	1871.0	2098.0	7.0	2281.0	1845.0	436.0	2.0	2.0		3.0	2.0	1.0		1.0		4.0	7.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1997	38197.0	6261.0	6255.0	4192.0	1821.0	2365.0	6.0	2063.0	1692.0	371.0				2.0	4.0			5.0		3.0	3.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1998	33264.0	5958.0	5950.0	3917.0	1563.0	2349.0	5.0	2033.0	1601.0	432.0				4.0	4.0	1.0		2.0		3.0		京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
1999	34744.0	5471.0	5471.0	4011.0	1511.0	2498.0	2.0	1460.0	1145.0	315.0												京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
2000	33201.0	5318.0	5312.0	3809.0	1328.0	2476.0	5.0	1503.0	1155.0	348.0				4.0	2.0			2.0				京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
2001	31462.0	4310.0	4308.0	3403.0	1050.0	2352.0	1.0	905.0	730.0	175.0				1.0	1.0					1.0	2.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
2002	34597.0	5098.0	5098.0	3751.0	1249.0	2502.0		1347.0	1043.0	304.0												京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
2003	37649.0	5704.0	5704.0	3448.0	1051.0	2384.0	13.0	2256.0	1980.0	276.0								3.0				京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
2004	39450.0	5803.0	5796.0	3345.0	1085.0	2259.0	1.0	2451.0	2159.0	292.0					7.0	4.0		2.0				京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
2005	32394.0	5987.0	5974.0	3529.0	1090.0	2437.0	2.0	2438.0	2000.0	438.0	7.0		7.0		13.0	9.0						京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
2006	27340.0	4799.0	4793.0	2810.0	823.0	1984.0	3.0	1981.0	1654.0	327.0	2.0		2.0		6.0	3.0		1.0				京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
2007	27569.0	4189.0	4177.0	2502.0	803.0	1696.0	3.0	1672.0	1419.0	253.0	3.0	2.0	1.0		12.0	10.0						京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
2008	25196.0	3789.0	3771.0	2183.0	763.0	1417.0	3.0	1587.0	1439.0	148.0	1.0	1.0			18.0	12.0		1.0				京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
2009	25031.0	3362.0	3358.0	1744.0	641.0	1103.0		1609.0	1448.0	161.0	5.0	1.0	4.0	1.0	3.0			1.0			14.0	京都	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117970&fileKind=0
