year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	460123.0		22529.0	8495.0	4199.0	3877.0	419.0	13526.0	5580.0	7946.0	508.0	238.0	270.0	92.0	521.0	111.0	10.0	548.0		442.0	20.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
1986	516462.0		24894.0	8198.0	3992.0	3972.0	234.0	16191.0	6354.0	9837.0	505.0	184.0	321.0	169.0	599.0	154.0	29.0	319.0	4.0	424.0	21.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
1987	609420.0		24439.0	7088.0	3376.0	3579.0	133.0	16757.0	5463.0	11294.0	594.0	191.0	403.0	51.0	353.0	135.0	7.0	352.0	1.0	411.0	31.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
1988	717488.0		28032.0	5099.0	2132.0	2794.0	173.0	22177.0	5205.0	16972.0	756.0	155.0	601.0	10.0	308.0	153.0	5.0	193.0	1.0	349.0	20.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
1989	790721.0		27528.0	4925.0	2038.0	2829.0	58.0	21763.0	4860.0	16903.0	840.0	201.0	639.0	27.0	264.0	150.0	4.0	186.0	1.0	304.0	25.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
1990	786775.0		27828.0	5480.0	2385.0	3035.0	60.0	21545.0	5145.0	16400.0	803.0	216.0	587.0	24.0	233.0	130.0	3.0	224.0		291.0	17.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
1991	743980.0		30979.0	6151.0	2468.0	3603.0	80.0	23662.0	5894.0	17768.0	1166.0	335.0	831.0	17.0	190.0	92.0	5.0	336.0		283.0	14.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
1992	744186.0		32926.0	7934.0	3315.0	4437.0	182.0	23424.0	5384.0	18040.0	1568.0	265.0	1303.0	34.0	189.0	87.0	1.0	355.0		216.0	11.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
1993	781268.0		29541.0	7922.0	3414.0	4425.0	83.0	21053.0	4172.0	16881.0	566.0	258.0	308.0	42.0	162.0	85.0		682.0		111.0	12.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
1994	769393.0		29210.0	8483.0	3811.0	4614.0	58.0	20051.0	4998.0	15053.0	676.0	340.0	336.0	8.0	124.0	60.0		774.0	1.0	185.0	14.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
1995	703455.0	31436.0	31288.0	9045.0	3705.0	5249.0	91.0	21596.0	5578.0	16018.0	647.0	341.0	306.0	11.0	137.0	71.0		681.0	1.0	186.0	11.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
1996	705951.0	29967.0	29893.0	8652.0	3396.0	4966.0	290.0	20970.0	5060.0	15910.0	271.0	193.0	78.0	10.0	64.0	38.0		641.0	2.0	120.0	11.0	青森	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117926&fileKind=0
