year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	178892.0		46467.0	16987.0	9692.0	7271.0	24.0	29020.0	17523.0	11497.0	460.0		460.0	109.0	1115.0	648.0	1.0	41.0		3.0	7.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1986	161584.0		42474.0	14659.0	8413.0	6216.0	30.0	26277.0	16351.0	9926.0	1538.0	18.0	1520.0	97.0	769.0	464.0	3.0	36.0		2.0	19.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1987	152539.0		39686.0	13269.0	7435.0	5799.0	35.0	24309.0	15147.0	9162.0	2108.0	60.0	2048.0	80.0	573.0	321.0	1.0	22.0	1.0	11.0	17.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1988	144517.0		37698.0	12915.0	7511.0	5370.0	34.0	22706.0	13811.0	8895.0	2077.0	180.0	1897.0	44.0	438.0	280.0	1.0	9.0		25.0	23.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1989	133410.0		41762.0	14348.0	7634.0	6698.0	16.0	24447.0	13139.0	11308.0	2967.0	138.0	2829.0	70.0	365.0	188.0	6.0	14.0		6.0	40.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1990	129996.0		42173.0	15282.0	8118.0	7149.0	15.0	24698.0	13052.0	11646.0	2193.0	68.0	2125.0	60.0	400.0	242.0	1.0	24.0		4.0	25.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1991	115912.0		41979.0	15953.0	8338.0	7604.0	11.0	24193.0	12800.0	11393.0	1833.0	142.0	1691.0	59.0	360.0	256.0	8.0	31.0	1.0	5.0	21.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1992	103251.0		39792.0	15188.0	7669.0	7501.0	18.0	23022.0	11409.0	11613.0	1582.0	187.0	1395.0	51.0	334.0	202.0	1.0	37.0		11.0	41.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1993	100588.0		38115.0	16733.0	8430.0	8290.0	13.0	19998.0	10718.0	9280.0	1384.0	181.0	1203.0	40.0	314.0	220.0	4.0	84.0		7.0	23.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1994	91277.0		37366.0	17153.0	8760.0	8370.0	23.0	18143.0	9813.0	8330.0	2070.0	354.0	1716.0	31.0	293.0	249.0	4.0	77.0		1.0	18.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1995	81562.0			17613.0	9616.0	7969.0	28.0	17018.0	9065.0	7953.0		55.0		33.0	173.0	125.0	1.0	66.0		8.0	18.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1996	75239.0	35660.0	35553.0	18170.0	9808.0	8351.0	11.0	15557.0	8267.0	7290.0	1826.0		1826.0	21.0	84.0	56.0	2.0	103.0		9.0	13.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1997	67525.0	35080.0	34979.0	18303.0	9858.0	8411.0	34.0	14369.0	7586.0	6783.0	2307.0		2307.0	24.0	70.0	39.0	7.0	137.0	1.0	3.0	7.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1998	64466.0	33755.0	33642.0	18171.0	9733.0	8356.0	82.0	13321.0	7509.0	5812.0	2150.0	1.0	2149.0	11.0	100.0	48.0	2.0	198.0	1.0	19.0	4.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
1999	59865.0	32540.0	32427.0	17162.0	9455.0	7614.0	93.0	13150.0	7405.0	5745.0	2115.0	9.0	2106.0	16.0	96.0	57.0	1.0	243.0			7.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
2000	52070.0	32157.0	32104.0	17030.0	9361.0	7633.0	36.0	13094.0	7362.0	5732.0	1980.0		1980.0	10.0	43.0	22.0		48.0		2.0	8.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
2001	51684.0	31228.0	31161.0	15962.0	8675.0	7270.0	17.0	13193.0	7553.0	5640.0	2006.0		2006.0	16.0	51.0	20.0		9.0		12.0	10.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
2002	53796.0	33226.0	33188.0	16165.0	8937.0	7215.0	13.0	14895.0	8609.0	6286.0	2128.0	30.0	2098.0	10.0	28.0	15.0		2.0			15.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
2003	54321.0	29873.0	29805.0	14537.0	7923.0	6599.0	15.0	13348.0	8170.0	5178.0	1920.0	171.0	1749.0	7.0	61.0	36.0		2.0				兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
2004	54875.0	31878.0	31827.0	15578.0	8569.0	6989.0	20.0	13995.0	8772.0	5223.0	2254.0	211.0	2043.0	2.0	49.0	26.0		3.0			4.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
2005	54280.0	30662.0	30606.0	15373.0	8056.0	7302.0	15.0	13015.0	8510.0	4505.0	2218.0	420.0	1798.0	9.0	47.0	37.0		4.0				兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
2006	46956.0	29471.0	29405.0	14527.0	7605.0	6902.0	20.0	12423.0	8199.0	4224.0	2455.0	507.0	1948.0	4.0	59.0	49.0	3.0	1.0			2.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
2007	44866.0	27853.0	27814.0	13834.0	6552.0	7266.0	16.0	12026.0	7947.0	4079.0	1954.0	612.0	1342.0	3.0	36.0	13.0		1.0			5.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
2008	44221.0	27320.0	27264.0	13415.0	6370.0	7036.0	9.0	11827.0	7728.0	4099.0	2022.0	357.0	1665.0	3.0	53.0	38.0		3.0				兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
2009	40142.0	26132.0	26093.0	13809.0	7126.0	6671.0	12.0	10258.0	6643.0	3615.0	2026.0	451.0	1575.0	4.0	35.0	17.0					2.0	兵庫	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117972&fileKind=0
