year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	613904.0		53080.0	28087.0	11819.0	15709.0	559.0	24986.0	9723.0	15263.0	7.0	4.0	3.0	79.0	589.0	459.0		297.0	3.0	305.0	109.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1986	638542.0		53640.0	25690.0	10241.0	14826.0	623.0	27916.0	10073.0	17843.0	34.0	20.0	14.0	110.0	637.0	228.0	2.0	211.0		327.0	112.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1987	685111.0		52655.0	22825.0	9410.0	12778.0	637.0	29100.0	10657.0	18443.0	730.0	83.0	647.0	62.0	321.0	225.0	3.0	178.0	1.0	287.0	76.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1988	704789.0		51991.0	21897.0	9020.0	12452.0	425.0	29314.0	10004.0	19310.0	780.0	22.0	758.0	60.0	136.0	86.0	2.0	102.0		389.0	49.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1989	722972.0		51937.0	22228.0	9000.0	12867.0	361.0	28281.0	8810.0	19471.0	1428.0	23.0	1405.0	54.0	175.0	119.0	12.0	134.0		403.0	39.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1990	729050.0		50958.0	25191.0	10131.0	14770.0	290.0	24136.0	7248.0	16888.0	1631.0	39.0	1592.0	54.0	118.0	51.0	2.0	91.0		336.0	43.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1991	719526.0		54058.0	26117.0	11181.0	14646.0	290.0	26666.0	11400.0	15266.0	1275.0	8.0	1267.0	66.0	84.0	27.0	6.0	112.0		457.0	42.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1992	699308.0		53951.0	26417.0	11730.0	14503.0	184.0	26462.0	10863.0	15599.0	1072.0	81.0	991.0	56.0	115.0	58.0	2.0	115.0	5.0	452.0	50.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1993	704990.0		52028.0	26369.0	12094.0	14206.0	69.0	24166.0	10600.0	13566.0	1493.0	349.0	1144.0	68.0	70.0	28.0		105.0	1.0	418.0	51.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1994	707390.0		52547.0	28260.0	13065.0	15119.0	76.0	23331.0	11258.0	12073.0	956.0	365.0	591.0	59.0	226.0	71.0	1.0	182.0	1.0	350.0	43.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1995	673852.0	51746.0	51554.0	29241.0	13839.0	15321.0	81.0	21997.0	10429.0	11568.0	316.0	204.0	112.0	51.0	139.0	43.0	2.0	232.0		299.0	31.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1996	623989.0	44811.0	44679.0	26327.0	12629.0	13644.0	54.0	18293.0	8407.0	9886.0	59.0	52.0	7.0	37.0	95.0	26.0		192.0		232.0	24.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1997	668711.0	42503.0	42441.0	26491.0	11988.0	14455.0	48.0	15453.0	6815.0	8638.0	497.0	2.0	495.0	34.0	28.0	11.0		238.0	1.0	200.0	23.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1998	675387.0	42666.0	42612.0	24573.0	11998.0	12541.0	34.0	17453.0	6595.0	10858.0	586.0	2.0	584.0	23.0	31.0	18.0		152.0	1.0	257.0	7.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
1999	695664.0	42450.0	42398.0	24276.0	11981.0	12243.0	52.0	18098.0	6569.0	11529.0	24.0	10.0	14.0	23.0	25.0	12.0	4.0	102.0	2.0	250.0	7.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
2000	698763.0	42017.0	41980.0	23091.0	11277.0	11764.0	50.0	18877.0	7675.0	11202.0	12.0	7.0	5.0	16.0	21.0	7.0		140.0		157.0	23.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
2001	676627.0	37339.0	37334.0	20816.0	10175.0	10584.0	57.0	16491.0	6188.0	10303.0	27.0	3.0	24.0	2.0	3.0	2.0		118.0		204.0	11.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
2002	647575.0	42581.0	42540.0	22211.0	11584.0	10571.0	56.0	20312.0	7931.0	12381.0	17.0	2.0	15.0	27.0	14.0	7.0		133.0		170.0	62.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
2003	681060.0	36633.0	36528.0	18558.0	9943.0	8578.0	37.0	17966.0	7399.0	10567.0	4.0	2.0	2.0	47.0	58.0	40.0		187.0		116.0	64.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
2004	682669.0	39085.0	38965.0	20020.0	10770.0	9207.0	43.0	18860.0	8167.0	10693.0	85.0	59.0	26.0	38.0	81.0	63.0	1.0	245.0		88.0	70.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
2005	660023.0	37022.0	36915.0	19433.0	10668.0	8734.0	31.0	17415.0	8374.0	9041.0	67.0	39.0	28.0	31.0	76.0	52.0		212.0		102.0	62.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
2006	695533.0	35989.0	35799.0	18945.0	9781.0	9122.0	42.0	16758.0	7695.0	9063.0	96.0	61.0	35.0	33.0	155.0	121.0	2.0	244.0		130.0	34.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
2007	708909.0	36653.0	36353.0	19188.0	9152.0	9978.0	58.0	17068.0	7892.0	9176.0	97.0	42.0	55.0	32.0	268.0	232.0		172.0		218.0	63.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
2008	719320.0	36421.0	36211.0	19665.0	9439.0	10183.0	43.0	16492.0	7682.0	8810.0	54.0	19.0	35.0	30.0	178.0	136.0	2.0	119.0		232.0	22.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
2009	744514.0	36807.0	36615.0	22169.0	10524.0	11594.0	51.0	14445.0	6860.0	7585.0	1.0	1.0		38.0	154.0	125.0		59.0		165.0	15.0	岩手	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117927&fileKind=0
