year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	122071.0		26929.0	7961.0	5010.0	2911.0	40.0	18968.0	11297.0	7671.0				35.0	290.0	166.0		35.0		5.0	4.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1986	117068.0		26458.0	7363.0	4394.0	2926.0	43.0	19095.0	11563.0	7532.0				23.0	213.0	117.0		5.0		5.0	2.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1987	112680.0		24278.0	6407.0	3540.0	2848.0	19.0	17852.0	10460.0	7392.0	19.0	1.0	18.0	15.0	120.0	44.0		8.0		18.0	1.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1988	103582.0		23257.0	5874.0	3291.0	2561.0	22.0	17239.0	10510.0	6729.0	144.0	13.0	131.0	23.0	90.0	33.0		8.0		14.0	1.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1989	99589.0		22836.0	5547.0	2778.0	2748.0	21.0	16973.0	10453.0	6520.0	316.0		316.0	13.0	62.0	29.0		7.0		38.0	2.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1990	94591.0		23394.0	6063.0	3335.0	2693.0	35.0	16952.0	10829.0	6123.0	379.0	2.0	377.0	27.0	58.0	31.0		6.0		19.0	8.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1991	83228.0		23624.0	5501.0	2992.0	2486.0	23.0	17645.0	10966.0	6679.0	478.0	110.0	368.0	22.0	48.0	26.0		1.0		18.0	4.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1992	74756.0		25094.0	5840.0	3173.0	2653.0	14.0	18701.0	11219.0	7482.0	553.0	94.0	459.0	23.0	82.0	34.0		12.0		7.0	4.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1993	73188.0		24864.0	5915.0	3356.0	2525.0	34.0	18392.0	10796.0	7596.0	557.0	169.0	388.0	25.0	93.0	50.0		67.0		11.0	5.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1994	67973.0		24780.0	5867.0	3319.0	2493.0	55.0	18671.0	10890.0	7781.0	242.0	105.0	137.0	10.0	30.0	24.0		47.0		21.0	12.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1995	61773.0	25425.0	25401.0	6433.0	3790.0	2613.0	30.0	18938.0	10756.0	8182.0	30.0	16.0	14.0	7.0	17.0	14.0		73.0		19.0	3.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1996	54444.0	25201.0	25164.0	6313.0	3568.0	2714.0	31.0	18851.0	10588.0	8263.0				13.0	24.0	9.0		49.0		6.0	4.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1997	58090.0	23235.0	23196.0	5579.0	3122.0	2433.0	24.0	17617.0	9682.0	7935.0				18.0	21.0	11.0		47.0		6.0	7.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1998	52949.0	19142.0	19096.0	4996.0	2838.0	2150.0	8.0	14100.0	7984.0	6116.0				14.0	32.0	24.0		60.0		10.0	2.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
1999	52112.0	20162.0	20107.0	4800.0	2804.0	1978.0	18.0	15307.0	8050.0	7257.0				17.0	38.0	22.0		60.0		1.0	3.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
2000	56844.0	19322.0	19296.0	4746.0	2753.0	1979.0	14.0	14550.0	7729.0	6821.0				6.0	20.0	10.0		56.0		7.0	2.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
2001	47638.0	15568.0	15552.0	3452.0	2142.0	1296.0	14.0	12100.0	6000.0	6100.0				1.0	15.0	10.0		52.0			1.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
2002	51992.0	19204.0	19164.0	3968.0	2300.0	1648.0	20.0	15196.0	7657.0	7539.0				2.0	38.0	35.0		48.0			4.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
2003	54710.0	20071.0	20029.0	3796.0	2304.0	1475.0	17.0	16231.0	7557.0	8674.0	2.0	1.0	1.0	2.0	40.0	24.0		57.0		4.0	2.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
2004	58121.0	20489.0	20422.0	3943.0	2311.0	1610.0	22.0	16326.0	7851.0	8475.0	153.0	23.0	130.0	2.0	65.0	56.0		51.0		4.0	7.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
2005	65667.0	20308.0	20206.0	3681.0	2106.0	1559.0	16.0	16142.0	7384.0	8758.0	383.0	107.0	276.0	2.0	100.0	82.0		42.0		2.0		岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
2006	64951.0	19933.0	19737.0	3898.0	2129.0	1748.0	21.0	15505.0	6660.0	8845.0	334.0	90.0	244.0		196.0	177.0		36.0		1.0	1.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
2007	59170.0	18864.0	18633.0	3624.0	1953.0	1644.0	27.0	14605.0	6467.0	8138.0	404.0	99.0	305.0	2.0	229.0	218.0		11.0		1.0	1.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
2008	64377.0	18809.0	18505.0	3967.0	2107.0	1842.0	18.0	13944.0	6860.0	7084.0	594.0	136.0	458.0	3.0	301.0	232.0		10.0		1.0	1.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
2009	71054.0	18077.0	17791.0	3825.0	2206.0	1606.0	13.0	13598.0	7623.0	5975.0	368.0	117.0	251.0		283.0	183.0	3.0	20.0			1.0	岡山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117977&fileKind=0
