year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	1748763.0		86521.0	63353.0	29702.0	33367.0	284.0	23165.0	7047.0	16118.0	3.0	2.0	1.0	189.0	245.0	157.0		76.0	2.0	4.0	2307.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1986	1924211.0		82485.0	57387.0	27152.0	30093.0	142.0	24927.0	8185.0	16742.0	171.0	8.0	163.0	186.0	180.0	119.0		51.0	5.0		2363.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1987	2047854.0		79997.0	53471.0	23979.0	29362.0	130.0	26171.0	8864.0	17307.0	355.0	3.0	352.0	118.0	157.0	92.0		46.0	2.0		2057.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1988	2105048.0		77773.0	50858.0	21405.0	29360.0	93.0	26426.0	8947.0	17479.0	489.0	38.0	451.0	83.0	116.0	88.0		46.0			2132.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1989	2177870.0		74318.0	51980.0	21715.0	30179.0	86.0	21853.0	5606.0	16247.0	485.0	28.0	457.0	96.0	122.0	94.0		114.0		1.0	1709.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1990	2203863.0		73502.0	52871.0	22091.0	30677.0	103.0	19736.0	4765.0	14971.0	895.0	188.0	707.0	85.0	115.0	95.0	5.0	84.0	2.0	1.0	1805.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1991	2194882.0		77497.0	54200.0	22540.0	31608.0	52.0	22487.0	6158.0	16329.0	810.0	27.0	783.0	85.0	82.0	35.0		91.0	2.0	1.0	1910.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1992	2233749.0		82379.0	59563.0	26310.0	33209.0	44.0	22045.0	5932.0	16113.0	771.0	3.0	768.0	106.0	64.0	31.0		105.0	5.0	4.0	2110.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1993	2307405.0		85704.0	63236.0	29497.0	33690.0	49.0	21598.0	5817.0	15781.0	870.0	32.0	838.0	139.0	42.0	21.0		106.0		12.0	1831.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1994	2298289.0		94927.0	70146.0	34410.0	35683.0	53.0	24205.0	8014.0	16191.0	576.0	12.0	564.0	114.0	28.0	15.0		100.0		6.0	1785.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1995	2228436.0	92775.0	92683.0	68514.0	33424.0	35052.0	38.0	23479.0	8364.0	15115.0	690.0	15.0	675.0	53.0	39.0	24.0		111.0			1801.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1996	2031771.0	87056.0	86961.0	66399.0	32707.0	33619.0	73.0	20506.0	7043.0	13463.0	56.0	9.0	47.0	73.0	22.0	14.0		91.0	3.0		1713.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1997	2031837.0	89682.0	89588.0	67912.0	33401.0	34438.0	73.0	21648.0	7363.0	14285.0	28.0	8.0	20.0	56.0	36.0	25.0	2.0	104.0			1531.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1998	2086085.0	90327.0	90230.0	68275.0	33233.0	34977.0	65.0	21910.0	7650.0	14260.0	45.0	28.0	17.0	66.0	30.0	10.0	1.0	151.0	2.0		1455.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
1999	2074637.0	94521.0	94425.0	69455.0	32923.0	36462.0	70.0	24882.0	9183.0	15699.0	88.0	14.0	74.0	63.0	32.0	19.0	1.0	132.0	2.0	1.0	1414.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
2000	2048769.0	96218.0	96103.0	71383.0	34282.0	37056.0	45.0	24640.0	10076.0	14564.0	80.0		80.0	84.0	31.0	13.0		47.0		1.0	1388.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
2001	2001974.0	90242.0	90157.0	68128.0	32322.0	35747.0	59.0	21655.0	8502.0	13153.0	374.0	192.0	182.0	69.0	16.0	5.0		40.0			1333.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
2002	1933884.0	104442.0	104381.0	78336.0	37206.0	40998.0	132.0	24740.0	9578.0	15162.0	1305.0	461.0	844.0	42.0	19.0	1.0		32.0			1355.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
2003	2007946.0	96100.0	96024.0	71259.0	32989.0	38174.0	96.0	22622.0	8785.0	13837.0	2143.0	926.0	1217.0	42.0	34.0	8.0		66.0			1385.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
2004	1984544.0	97609.0	97558.0	72395.0	33520.0	38826.0	49.0	23083.0	8894.0	14189.0	2080.0	844.0	1236.0	26.0	24.0	12.0	1.0	37.0			1166.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
2005	1974807.0	98004.0	97948.0	74665.0	34707.0	39904.0	54.0	20968.0	8321.0	12647.0	2315.0	747.0	1568.0	36.0	20.0	11.0		27.0			992.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
2006	1967197.0	96446.0	96402.0	74070.0	34020.0	40017.0	33.0	20016.0	8335.0	11681.0	2316.0	527.0	1789.0	33.0	10.0	8.0	1.0	14.0			672.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
2007	1871834.0	100582.0	100531.0	76932.0	34769.0	42102.0	61.0	20993.0	8640.0	12353.0	2606.0	973.0	1633.0	34.0	17.0	9.0		16.0			681.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
2008	1840244.0	101993.0	101879.0	79253.0	35679.0	43523.0	51.0	20489.0	8518.0	11971.0	2137.0	826.0	1311.0	48.0	62.0	48.0	4.0	14.0			801.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
2009	2040713.0	106545.0	106398.0	86630.0	40017.0	46586.0	27.0	18142.0	7373.0	10769.0	1626.0	692.0	934.0	88.0	55.0	39.0	4.0	15.0			685.0	鹿児島	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117990&fileKind=0
