year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	524822.0		45198.0	24998.0	12994.0	11960.0	44.0	20128.0	11092.0	9036.0	72.0	60.0	12.0	56.0	361.0	59.0	1.0	52.0	2.0	65.0	23.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1986	526787.0		45233.0	24866.0	12917.0	11874.0	75.0	20350.0	11871.0	8479.0	17.0	11.0	6.0	78.0	509.0	93.0	1.0	26.0	1.0	39.0	31.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1987	537197.0		44464.0	22625.0	10921.0	11694.0	10.0	21783.0	13724.0	8059.0	56.0	20.0	36.0	52.0	253.0	44.0		13.0	1.0	43.0	17.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1988	536180.0		44011.0	21567.0	10014.0	11540.0	13.0	22165.0	13760.0	8405.0	279.0	22.0	257.0	55.0	147.0	33.0	2.0	9.0		41.0	7.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1989	540100.0		42979.0	21768.0	10069.0	11681.0	18.0	20736.0	12578.0	8158.0	475.0	34.0	441.0	89.0	128.0	55.0	1.0	16.0		63.0	11.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1990	519150.0		40804.0	22788.0	10051.0	12729.0	8.0	17722.0	11132.0	6590.0	294.0	51.0	243.0	72.0	121.0	59.0	1.0	13.0		78.0	7.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1991	482666.0		43917.0	24847.0	10632.0	14197.0	18.0	18743.0	11685.0	7058.0	327.0	44.0	283.0	60.0	117.0	55.0		15.0		233.0	7.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1992	447273.0		42665.0	24541.0	11200.0	13327.0	14.0	17978.0	11471.0	6507.0	146.0	47.0	99.0	63.0	128.0	39.0		15.0		207.0	1.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1993	459483.0		46471.0	27725.0	13000.0	14659.0	66.0	18367.0	12006.0	6361.0	379.0	168.0	211.0	76.0	202.0	107.0	3.0	28.0		205.0	13.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1994	444699.0		48086.0	30206.0	15058.0	15141.0	7.0	17221.0	11527.0	5694.0	659.0	223.0	436.0	67.0	220.0	168.0	2.0	59.0		264.0	4.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1995	399731.0	48912.0	48724.0	31011.0	15905.0	15071.0	35.0	17466.0	11940.0	5526.0	247.0	159.0	88.0	64.0	121.0	88.0	3.0	55.0	1.0	250.0	7.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1996	373071.0	43290.0	43157.0	27675.0	13766.0	13893.0	16.0	15462.0	10783.0	4679.0	20.0	14.0	6.0	53.0	80.0	50.0		42.0		227.0	1.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1997	376214.0	43434.0	43349.0	29071.0	14118.0	14906.0	47.0	14269.0	9280.0	4989.0	9.0	4.0	5.0	52.0	33.0	24.0		39.0		235.0	3.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1998	376184.0	42044.0	41895.0	29643.0	14383.0	15251.0	9.0	12218.0	7530.0	4688.0	34.0	9.0	25.0	58.0	88.0	29.0	3.0	24.0	10.0	186.0	3.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
1999	379031.0	41571.0	41428.0	29480.0	14536.0	14925.0	19.0	11942.0	7247.0	4695.0	6.0	6.0		76.0	67.0	26.0		14.0	4.0	152.0	1.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
2000	375255.0	42410.0	42282.0	29906.0	14853.0	15035.0	18.0	12373.0	7722.0	4651.0	3.0	3.0		69.0	59.0	35.0		21.0		104.0	3.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
2001	366964.0	35467.0	35398.0	24863.0	12377.0	12471.0	15.0	10530.0	6789.0	3741.0	5.0	4.0	1.0	35.0	31.0	15.0	3.0	27.0		89.0	2.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
2002	366916.0	39532.0	39465.0	25310.0	12133.0	13172.0	5.0	14151.0	7551.0	6600.0	4.0	3.0	1.0	1.0	65.0	56.0	1.0	10.0		10.0		宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
2003	375387.0	34574.0	34480.0	21457.0	9607.0	11844.0	6.0	13001.0	7821.0	5180.0	22.0	18.0	4.0	1.0	93.0	60.0		10.0			2.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
2004	372436.0	34280.0	34110.0	20807.0	9330.0	11468.0	9.0	13129.0	7789.0	5340.0	174.0	63.0	111.0	5.0	165.0	155.0		15.0		4.0		宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
2005	393222.0	33589.0	33503.0	20054.0	9203.0	10841.0	10.0	13240.0	7313.0	5927.0	209.0	92.0	117.0	8.0	78.0	65.0		10.0				宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
2006	384241.0	31331.0	31307.0	19472.0	8283.0	11181.0	8.0	11739.0	6904.0	4835.0	96.0	16.0	80.0	4.0	20.0	12.0		1.0				宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
2007	387673.0	31806.0	31761.0	20000.0	8234.0	11758.0	8.0	11717.0	6303.0	5414.0	44.0	19.0	25.0	19.0	26.0	17.0		13.0		19.0		宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
2008	397052.0	33014.0	32926.0	21333.0	8916.0	12392.0	25.0	11585.0	6496.0	5089.0	8.0	5.0	3.0	22.0	66.0	33.0		22.0		44.0	8.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
2009	391323.0	33303.0	33232.0	22241.0	9159.0	13076.0	6.0	10978.0	5872.0	5106.0	13.0	6.0	7.0	32.0	39.0	29.0		9.0		56.0	7.0	宮城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117928&fileKind=0
