year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	115108.0		9895.0	2438.0	1856.0	578.0	4.0	7440.0	6073.0	1367.0	17.0	7.0	10.0	3.0	47.0	11.0		2.0			1.0	大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1986	105731.0		9762.0	2289.0	1760.0	519.0	10.0	7444.0	6298.0	1146.0	29.0	11.0	18.0	4.0	30.0	14.0		6.0				大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1987	101413.0		8401.0	2130.0	1792.0	322.0	16.0	6268.0	5678.0	590.0	3.0	2.0	1.0	4.0	17.0	7.0		1.0				大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1988	104132.0		7337.0	2128.0	1683.0	442.0	3.0	5205.0	4251.0	954.0	4.0	1.0	3.0	1.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1989	100836.0		7620.0	2305.0	1823.0	476.0	6.0	5310.0	4370.0	940.0	5.0	2.0	3.0	1.0	6.0	5.0		3.0				大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1990	89367.0		5973.0	1815.0	1361.0	452.0	2.0	4153.0	3146.0	1007.0	5.0	4.0	1.0	4.0	13.0	5.0		5.0			3.0	大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1991	56194.0		5228.0	1143.0	782.0	360.0	1.0	4081.0	3336.0	745.0	4.0	2.0	2.0	6.0	10.0	8.0		4.0		1.0	9.0	大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1992	42191.0		4800.0	1267.0	881.0	385.0	1.0	3515.0	2995.0	520.0	18.0		18.0		11.0	5.0		10.0		1.0		大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1993	42051.0		4945.0	1016.0	781.0	231.0	4.0	3919.0	2955.0	964.0	10.0		10.0	1.0	7.0	3.0		11.0			8.0	大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1994	35191.0		4501.0	966.0	740.0	224.0	2.0	3516.0	2716.0	800.0	19.0	12.0	7.0		4.0	1.0	1.0	8.0			1.0	大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1995	46696.0	4545.0	4539.0	988.0	730.0	257.0	1.0	3550.0	2769.0	781.0	1.0	1.0			6.0			15.0		1.0		大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1996	36806.0	4279.0	4272.0	1289.0	932.0	356.0	1.0	2980.0	2359.0	621.0	3.0	2.0	1.0	2.0	5.0	3.0		26.0				大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1997	26917.0	3755.0	3745.0	1334.0	985.0	348.0	1.0	2411.0	1982.0	429.0					10.0	6.0		25.0		2.0	2.0	大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1998	28817.0	3442.0	3415.0	1050.0	645.0	404.0	1.0	2365.0	1791.0	574.0				3.0	24.0	11.0		2.0	1.0			大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
1999	28574.0	3288.0	3269.0	886.0	556.0	329.0	1.0	2383.0	1775.0	608.0				2.0	17.0	12.0		2.0				大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
2000	30350.0	2834.0	2829.0	634.0	258.0	353.0	23.0	2195.0	1561.0	634.0				2.0	3.0	2.0		1.0		7.0	8.0	大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
2001	27477.0	2255.0	2251.0	535.0	402.0	128.0	5.0	1716.0	1480.0	236.0				1.0	3.0	2.0						大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
2002	26258.0	2700.0	2698.0	790.0	534.0	255.0	1.0	1908.0	1616.0	292.0					2.0							大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
2003	22166.0	1940.0	1935.0	578.0	331.0	246.0	1.0	1357.0	1241.0	116.0					5.0	2.0		3.0				大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
2004	21679.0	1738.0	1738.0	553.0	346.0	202.0	5.0	1185.0	1039.0	146.0								3.0				大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
2005	19958.0	1704.0	1700.0	493.0	237.0	256.0		1207.0	1063.0	144.0					4.0	2.0		1.0				大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
2006	15762.0	1390.0	1387.0	376.0	219.0	156.0	1.0	1008.0	914.0	94.0	3.0		3.0		3.0	3.0					1.0	大阪	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117971&fileKind=0
