year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	332548.0		12571.0	409.0	263.0	144.0	2.0	12133.0	10959.0	1174.0	29.0	18.0	11.0	4.0	925.0	69.0		78.0	1.0	4.0	169.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1986	325954.0		12286.0	386.0	263.0	121.0	2.0	11881.0	10593.0	1288.0	19.0	11.0	8.0	4.0	603.0	63.0		82.0		17.0	154.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1987	320093.0		12160.0	338.0	221.0	117.0		11810.0	10710.0	1100.0	12.0	5.0	7.0		336.0	35.0		109.0		50.0	166.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1988	297014.0		11756.0	466.0	333.0	133.0		11283.0	9891.0	1392.0	7.0	6.0	1.0	1.0	301.0	26.0	2.0	90.0		51.0	132.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1989	294737.0		10726.0	703.0	317.0	381.0	5.0	10002.0	9160.0	842.0	21.0	6.0	15.0	2.0	222.0	43.0		74.0		88.0	148.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1990	262229.0		9661.0	743.0	337.0	406.0		8915.0	8104.0	811.0	3.0	3.0		1.0	213.0	12.0		28.0		75.0	15.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1991	244990.0		10577.0	1181.0	577.0	604.0		9396.0	8595.0	801.0				5.0	206.0	23.0		32.0		70.0	28.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1992	237778.0		10273.0	1160.0	676.0	484.0		9112.0	8167.0	945.0	1.0		1.0	1.0	227.0	44.0		19.0		57.0	30.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1993	229483.0		10463.0	1205.0	698.0	506.0	1.0	9258.0	8095.0	1163.0				2.0	165.0	15.0		42.0		55.0	20.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1994	217711.0		9826.0	1333.0	750.0	583.0		8493.0	7306.0	1187.0				1.0	172.0	21.0		29.0		51.0	33.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1995	209849.0	9781.0	9605.0	1459.0	869.0	590.0		8146.0	7023.0	1123.0				3.0	173.0	7.0		30.0		50.0	23.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1996	212796.0	8961.0	8810.0	1350.0	800.0	550.0		7460.0	6511.0	949.0				2.0	149.0			21.0		32.0	28.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1997	209424.0	8791.0	8672.0	1382.0	805.0	577.0		7290.0	6329.0	961.0				3.0	116.0	13.0		37.0		46.0	15.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1998	203141.0	8814.0	8579.0	1330.0	775.0	555.0		7249.0	6260.0	989.0				7.0	228.0	60.0		42.0		23.0	22.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
1999	197551.0	8700.0	8546.0	1289.0	745.0	541.0	3.0	7257.0	6274.0	983.0				3.0	150.0	38.0	1.0	43.0		27.0	8.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
2000	190149.0	8429.0	8321.0	1236.0	657.0	579.0		7085.0	6068.0	1017.0				1.0	99.0	22.0	8.0	17.0		36.0	21.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
2001	184252.0	6423.0	6365.0	1141.0	624.0	517.0		5223.0	4419.0	804.0	1.0	1.0		3.0	52.0	7.0	3.0	21.0		24.0	13.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
2002	175155.0	5685.0	5668.0	1038.0	524.0	508.0	6.0	4630.0	3940.0	690.0				1.0	16.0	10.0		58.0		12.0	3.0	神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
2003	184432.0	4982.0	4968.0	870.0	350.0	520.0		4094.0	3598.0	496.0	4.0	4.0		2.0	11.0	7.0	1.0	55.0				神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
2004	170008.0	5489.0	5466.0	880.0	317.0	563.0		4585.0	4134.0	451.0	1.0		1.0	2.0	20.0	5.0	1.0	18.0				神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
2005	148629.0	5069.0	5046.0	858.0	303.0	554.0	1.0	4188.0	3964.0	224.0				1.0	21.0	10.0	1.0	62.0				神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
2006	145493.0	4829.0	4818.0	853.0	220.0	633.0		3965.0	3766.0	199.0					11.0	8.0		42.0				神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
2007	141106.0	4782.0	4751.0	875.0	246.0	629.0		3875.0	3665.0	210.0	1.0	1.0		1.0	30.0	15.0		59.0				神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
2008	135273.0	4834.0	4810.0	1006.0	298.0	708.0		3803.0	3561.0	242.0	1.0		1.0		24.0	13.0		80.0				神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
2009	139921.0	5113.0	5072.0	989.0	286.0	703.0		4080.0	3739.0	341.0	3.0	3.0		2.0	38.0	21.0	1.0	68.0				神奈川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117958&fileKind=0
