year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	137765.0		21507.0	12368.0	6156.0	6194.0	18.0	9139.0	3984.0	5155.0				26.0	148.0	96.0		170.0			3.0	佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1986	160945.0		22576.0	13416.0	5821.0	7587.0	8.0	9126.0	4067.0	5059.0	34.0	16.0	18.0	17.0	100.0	56.0		247.0			1.0	佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1987	165807.0		24631.0	14663.0	5935.0	8723.0	5.0	9963.0	4068.0	5895.0	5.0	4.0	1.0	26.0	64.0	41.0		167.0		1.0	1.0	佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1988	164073.0		25548.0	15756.0	5531.0	10210.0	15.0	9689.0	3993.0	5696.0	103.0	1.0	102.0	15.0	48.0	18.0		228.0			1.0	佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1989	166786.0		24857.0	16688.0	5636.0	11048.0	4.0	8037.0	3644.0	4393.0	132.0	26.0	106.0	39.0	21.0	12.0		201.0		1.0		佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1990	167009.0		26309.0	18482.0	5789.0	12691.0	2.0	7669.0	3287.0	4382.0	158.0	20.0	138.0	22.0	31.0	16.0		303.0		5.0		佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1991	163043.0		27535.0	19613.0	6273.0	13337.0	3.0	7759.0	3175.0	4584.0	163.0		163.0	13.0	13.0	8.0		370.0		2.0		佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1992	157524.0		27818.0	19871.0	6389.0	13477.0	5.0	7947.0	3213.0	4734.0				25.0	33.0	21.0		487.0		15.0	1.0	佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1993	157786.0		27899.0	20854.0	6849.0	14001.0	4.0	7045.0	3429.0	3616.0				31.0	22.0	9.0		540.0	2.0	11.0		佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1994	162487.0		29618.0	23806.0	7606.0	16197.0	3.0	5812.0	2554.0	3258.0				31.0	18.0	2.0		1075.0		4.0	2.0	佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1995	156326.0	28892.0	28844.0	23003.0	7635.0	15360.0	8.0	5841.0	2444.0	3397.0				22.0	26.0	7.0		1175.0		18.0	2.0	佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1996	145010.0	28012.0	27984.0	22495.0	6868.0	15625.0	2.0	5489.0	1918.0	3571.0				18.0	10.0	4.0		1184.0		17.0		佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1997	145740.0	28342.0	28309.0	22675.0	7434.0	15239.0	2.0	5628.0	1845.0	3783.0	6.0	3.0	3.0	18.0	14.0	6.0	1.0	1312.0		10.0	2.0	佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1998	137086.0	27226.0	27196.0	22180.0	7828.0	14349.0	3.0	5016.0	1524.0	3492.0				17.0	11.0	7.0	2.0	1136.0	1.0	2.0	1.0	佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
1999	124492.0	28574.0	28555.0	23075.0	9012.0	14058.0	5.0	5480.0	1550.0	3930.0				16.0	3.0	1.0		1293.0	2.0		1.0	佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
2000	128809.0	28764.0	28742.0	23459.0	9485.0	13966.0	8.0	5283.0	1637.0	3646.0				12.0	10.0	8.0		1262.0		2.0		佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
2001	129320.0	26362.0	26345.0	21581.0	8511.0	13070.0		4764.0	1424.0	3340.0				15.0	2.0	2.0		1233.0			2.0	佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
2002	126855.0	32317.0	32310.0	26940.0	11056.0	15884.0		5370.0	1747.0	3623.0				6.0	1.0			981.0		4.0		佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
2003	132238.0	28701.0	28690.0	23405.0	9878.0	13526.0	1.0	5285.0	1876.0	3409.0				6.0	5.0			928.0		1.0		佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
2004	146133.0	29805.0	29788.0	25238.0	10947.0	14284.0	7.0	4550.0	1792.0	2758.0				14.0	3.0	1.0		904.0		1.0		佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
2005	142737.0	28921.0	28913.0	24690.0	10628.0	14055.0	7.0	4223.0	1604.0	2619.0				5.0	3.0	2.0		832.0				佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
2006	139512.0	29196.0	29194.0	24886.0	10290.0	14591.0	5.0	4305.0	1581.0	2724.0	3.0	2.0	1.0	2.0				815.0				佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
2007	147836.0	28969.0	28966.0	25023.0	10081.0	14936.0	6.0	3940.0	1431.0	2509.0	3.0	1.0	2.0		3.0	1.0		740.0		6.0		佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
2008	141994.0	30240.0	30226.0	26338.0	11017.0	15313.0	8.0	3728.0	1339.0	2389.0	160.0	76.0	84.0	6.0	8.0	3.0		738.0		1.0		佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
2009	153903.0	30429.0	30410.0	27158.0	11566.0	15586.0	6.0	3233.0	1153.0	2080.0	19.0	8.0	11.0	4.0	15.0	6.0		516.0				佐賀	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117985&fileKind=0
