year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	1172885.0		76803.0	14131.0	3864.0	10254.0	13.0	62579.0	32109.0	30470.0	93.0	34.0	59.0	65.0	3578.0	2311.0	2.0	44.0		50.0	19.0	群馬	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117954&fileKind=0
1986	1194272.0		73598.0	14953.0	4244.0	10699.0	10.0	58578.0	32079.0	26499.0	67.0	19.0	48.0	48.0	3426.0	2330.0	2.0	45.0	1.0	55.0	16.0	群馬	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117954&fileKind=0
1987	1240017.0		75254.0	14846.0	4269.0	10569.0	8.0	60172.0	31529.0	28643.0	236.0	59.0	177.0	25.0	2575.0	1799.0	5.0	41.0		59.0	12.0	群馬	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117954&fileKind=0
1988	1205062.0		72281.0	13567.0	4024.0	9536.0	7.0	58255.0	29861.0	28394.0	459.0	70.0	389.0	35.0	2115.0	1591.0		30.0		81.0	10.0	群馬	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117954&fileKind=0
1989	1181250.0		63633.0	13607.0	4004.0	9594.0	9.0	49478.0	28373.0	21105.0	548.0	52.0	496.0	37.0	1557.0	1206.0	2.0	14.0		101.0	6.0	群馬	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117954&fileKind=0
1990	1202593.0		62835.0	13451.0	4335.0	9104.0	12.0	48853.0	26447.0	22406.0	531.0	23.0	508.0	35.0	1435.0	1079.0	3.0	22.0		202.0	6.0	群馬	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117954&fileKind=0
1991	1199856.0		52697.0	13019.0	4106.0	8898.0	15.0	39016.0	19904.0	19112.0	662.0	64.0	598.0	17.0	1377.0	904.0	4.0	51.0		136.0	4.0	群馬	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117954&fileKind=0
1992	1150478.0		55402.0	13509.0	4175.0	9322.0	12.0	41594.0	21929.0	19665.0	299.0	70.0	229.0	18.0	1085.0	627.0	4.0	104.0		134.0		群馬	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117954&fileKind=0
1993	1138563.0		55788.0	13125.0	4399.0	8644.0	82.0	42161.0	23542.0	18619.0	502.0	130.0	372.0	25.0	759.0	451.0	4.0	124.0	1.0	96.0	57.0	群馬	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117954&fileKind=0
1994	1107388.0		52782.0	13715.0	4687.0	9004.0	24.0	38809.0	21469.0	17340.0	258.0	55.0	203.0	30.0	584.0	382.0	3.0	80.0		44.0	101.0	群馬	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117954&fileKind=0
