year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	57498.0		7143.0	1810.0	547.0	1256.0	7.0	5309.0	1077.0	4232.0	24.0	6.0	18.0	10.0	78.0	43.0	1.0	27.0			2.0	和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1986	52833.0		7380.0	2121.0	666.0	1453.0	2.0	5236.0	1178.0	4058.0	23.0		23.0	8.0	79.0	46.0		55.0	2.0	2.0	6.0	和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1987	48595.0		6426.0	1282.0	766.0	513.0	3.0	5103.0	1143.0	3960.0	41.0	28.0	13.0	6.0	65.0	40.0		24.0	1.0		4.0	和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1988	39078.0		6823.0	1581.0	1124.0	455.0	2.0	5237.0	1596.0	3641.0	5.0	3.0	2.0	5.0	55.0	42.0		17.0		7.0	1.0	和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1989	40931.0		6469.0	1436.0	917.0	511.0	8.0	4965.0	1625.0	3340.0	68.0	2.0	66.0	7.0	69.0	49.0		9.0			4.0	和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1990	37639.0		6134.0	1375.0	844.0	524.0	7.0	4714.0	1470.0	3244.0	45.0	8.0	37.0	6.0	34.0	21.0	1.0	4.0				和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1991	27468.0		5230.0	1256.0	756.0	496.0	4.0	3920.0	870.0	3050.0	54.0	5.0	49.0	2.0	18.0	15.0	1.0	2.0		2.0	3.0	和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1992	22834.0		5029.0	1091.0	632.0	457.0	2.0	3935.0	1407.0	2528.0	3.0	1.0	2.0	6.0	25.0	19.0		22.0	1.0	5.0	1.0	和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1993	23122.0		4317.0	939.0	569.0	359.0	11.0	3377.0	1043.0	2334.0	1.0	1.0		3.0	22.0	15.0		88.0		3.0	2.0	和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1994	19120.0		3396.0	961.0	572.0	380.0	9.0	2383.0	844.0	1539.0	52.0	46.0	6.0	5.0	15.0	7.0		74.0				和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1995	15067.0			1249.0	815.0	431.0	3.0	2351.0	830.0	1521.0		2.0		8.0	8.0	3.0		14.0	3.0		1.0	和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1996	12067.0	3407.0	3398.0	1117.0	659.0	445.0	13.0	2281.0	762.0	1519.0				3.0	6.0	4.0		10.0				和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
