year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1997	12900.0	2880.0	2868.0	1163.0	820.0	336.0	7.0	1705.0	569.0	1136.0				3.0	9.0	8.0		8.0	1.0	1.0		和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1998	12300.0	3096.0	3088.0	972.0	682.0	288.0	2.0	2116.0	964.0	1152.0				3.0	5.0	2.0		7.0		4.0		和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
1999	9600.0	3092.0	3075.0	964.0	669.0	294.0	1.0	2110.0	1010.0	1100.0	1.0	1.0		6.0	11.0	5.0						和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
2000	9298.0	2914.0	2900.0	982.0	630.0	328.0	24.0	1917.0	924.0	993.0	1.0	1.0		8.0	6.0	4.0		2.0		5.0		和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
2001	7800.0	2477.0	2470.0	940.0	525.0	415.0		1530.0	695.0	835.0					7.0	7.0		3.0		4.0	1.0	和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
2002	7082.0	2721.0	2716.0	960.0	543.0	415.0	2.0	1756.0	771.0	985.0				1.0	4.0	3.0		5.0			1.0	和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
2003	6285.0	1840.0	1828.0	663.0	341.0	317.0	5.0	1165.0	481.0	684.0				1.0	11.0			19.0				和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
2004	5554.0	1972.0	1964.0	720.0	362.0	358.0		1244.0	667.0	577.0					8.0	2.0						和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
2005	4901.0	1913.0	1895.0	989.0	638.0	350.0	1.0	906.0	450.0	456.0					18.0	14.0		2.0				和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
2006	4715.0	1959.0	1937.0	1070.0	826.0	243.0	1.0	867.0	430.0	437.0				3.0	19.0	14.0						和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
2007	5228.0	1467.0	1461.0	699.0	428.0	262.0	9.0	762.0	418.0	344.0				2.0	4.0	3.0		3.0				和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
2008	4926.0	2090.0	2080.0	1208.0	921.0	287.0		872.0	555.0	317.0				4.0	6.0	4.0		3.0				和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
2009	5306.0	1371.0	1362.0	778.0	315.0	460.0	3.0	584.0	408.0	176.0				2.0	7.0	4.0						和歌山	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117974&fileKind=0
