year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	193778.0		27298.0	12904.0	8761.0	4116.0	27.0	14393.0	8199.0	6194.0	1.0	1.0		22.0	148.0	74.0					4.0	香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1986	191033.0		26283.0	11795.0	8181.0	3602.0	12.0	14486.0	8423.0	6063.0	2.0	2.0		14.0	79.0	48.0		3.0		13.0	1.0	香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1987	178532.0		24609.0	10181.0	7147.0	3026.0	8.0	14427.0	8001.0	6426.0	1.0		1.0	16.0	66.0	27.0		7.0			1.0	香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1988	150031.0		22787.0	8838.0	5836.0	2998.0	4.0	13949.0	7682.0	6267.0				18.0	87.0	46.0		1.0		8.0	2.0	香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1989	139265.0		21078.0	8230.0	5335.0	2894.0	1.0	12795.0	6484.0	6311.0	53.0	15.0	38.0	17.0	67.0	42.0		1.0		5.0	1.0	香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1990	123668.0		20403.0	8149.0	5301.0	2846.0	2.0	12244.0	5895.0	6349.0	10.0		10.0	8.0	102.0	38.0		7.0		16.0		香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1991	103824.0		20292.0	8037.0	5098.0	2931.0	8.0	12252.0	5662.0	6590.0	3.0	2.0	1.0	14.0	142.0	64.0				14.0		香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1992	87970.0		20351.0	8049.0	5033.0	3013.0	3.0	12302.0	5580.0	6722.0				17.0	99.0	48.0		4.0		20.0		香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1993	87480.0		20081.0	8526.0	5287.0	3222.0	17.0	11555.0	4826.0	6729.0				22.0	131.0	45.0			1.0			香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1994	80852.0		19703.0	8379.0	5310.0	3063.0	6.0	11324.0	4587.0	6737.0				14.0	193.0	38.0			2.0			香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1995	74517.0	17847.0	17766.0	7757.0	4812.0	2940.0	5.0	10009.0	3779.0	6230.0				4.0	77.0	17.0				1.0		香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1996	75106.0	17101.0	17014.0	7260.0	4398.0	2860.0	2.0	9754.0	3765.0	5989.0				7.0	80.0	11.0						香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1997	70002.0	15101.0	15063.0	6763.0	4026.0	2734.0	3.0	8300.0	3346.0	4954.0				9.0	29.0	3.0						香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1998	73733.0	14756.0	14612.0	6044.0	3588.0	2453.0	3.0	8566.0	3476.0	5090.0	2.0		2.0	19.0	125.0	22.0		1.0			1.0	香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
1999	78403.0	14901.0	14651.0	5991.0	3568.0	2415.0	8.0	8644.0	3914.0	4730.0	16.0		16.0	35.0	215.0	42.0		2.0				香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
2000	75006.0	14224.0	14035.0	5434.0	3300.0	2126.0	8.0	8601.0	3701.0	4900.0				14.0	175.0	31.0		1.0			1.0	香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
2001	70416.0	12469.0	12340.0	4805.0	2876.0	1920.0	9.0	7534.0	3134.0	4400.0	1.0	1.0		1.0	128.0	113.0						香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
2002	63183.0	11430.0	11401.0	4063.0	2014.0	2044.0	5.0	7338.0	2260.0	5078.0				1.0	28.0	23.0		2.0				香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
2003	63934.0	10333.0	10247.0	3632.0	1947.0	1682.0	3.0	6615.0	2363.0	4252.0				3.0	83.0	81.0						香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
2004	64352.0	10695.0	10668.0	3709.0	1970.0	1736.0	3.0	6959.0	2498.0	4461.0				2.0	25.0	23.0						香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
2005	64188.0	10324.0	10290.0	3532.0	1919.0	1610.0	3.0	6748.0	2452.0	4296.0	10.0		10.0	1.0	32.0	25.0	1.0					香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
2006	66466.0	10444.0	10369.0	3332.0	1727.0	1600.0	5.0	7036.0	2876.0	4160.0	1.0		1.0	1.0	74.0	66.0						香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
2007	70725.0	10187.0	10110.0	3265.0	1663.0	1597.0	5.0	6843.0	2890.0	3953.0	2.0	2.0		2.0	75.0	70.0		1.0				香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
2008	66669.0	9978.0	9905.0	3057.0	1599.0	1450.0	8.0	6848.0	2775.0	4073.0				3.0	70.0	60.0						香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
2009	70132.0	9895.0	9873.0	3068.0	1558.0	1505.0	5.0	6796.0	2758.0	4038.0	9.0	2.0	7.0	5.0	17.0	12.0						香川	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117981&fileKind=0
