year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	469550.0		35479.0	22545.0	11890.0	10619.0	36.0	12933.0	5845.0	7088.0	1.0		1.0	67.0	251.0	118.0		62.0		1.0	53.0	長崎	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117986&fileKind=0
1986	469100.0		35099.0	21105.0	10631.0	10424.0	50.0	13994.0	6656.0	7338.0				55.0	190.0	89.0		89.0		19.0	31.0	長崎	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117986&fileKind=0
1987	487750.0		29914.0	16985.0	7353.0	9591.0	41.0	12928.0	6574.0	6354.0	1.0	1.0		69.0	169.0	124.0		92.0	1.0	1.0	66.0	長崎	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117986&fileKind=0
1988	510050.0		28882.0	15861.0	6345.0	9482.0	34.0	12789.0	5389.0	7400.0	232.0	2.0	230.0	85.0	139.0	68.0	1.0	19.0			31.0	長崎	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117986&fileKind=0
1989	524604.0		28030.0	15456.0	5761.0	9652.0	43.0	11957.0	4409.0	7548.0	617.0	6.0	611.0	60.0	102.0	72.0	2.0	85.0	1.0	1.0	28.0	長崎	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117986&fileKind=0
1990	509881.0		29447.0	16563.0	5416.0	11125.0	22.0	12463.0	4575.0	7888.0	421.0	20.0	401.0	54.0	79.0	57.0		25.0		2.0	24.0	長崎	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117986&fileKind=0
1991	495560.0		30575.0	17454.0	5890.0	11541.0	23.0	12653.0	4237.0	8416.0	468.0	22.0	446.0	35.0	104.0	61.0	5.0	152.0	1.0	2.0	27.0	長崎	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117986&fileKind=0
1992	468160.0		34676.0	20449.0	6960.0	13463.0	26.0	13822.0	4194.0	9628.0	405.0	5.0	400.0	94.0	99.0	80.0	1.0	90.0		7.0	42.0	長崎	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117986&fileKind=0
1993	455919.0		34629.0	21350.0	8200.0	13122.0	28.0	12984.0	4405.0	8579.0	295.0	6.0	289.0	110.0	76.0	42.0	1.0	360.0	1.0	18.0	38.0	長崎	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117986&fileKind=0
1994	425604.0		36523.0	20813.0	8898.0	11901.0	14.0	15392.0	5465.0	9927.0	318.0	32.0	286.0	66.0	54.0	25.0	2.0	86.0		18.0	30.0	長崎	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117986&fileKind=0
