year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	193917.0		14807.0	4500.0	2220.0	2269.0	11.0	10305.0	3031.0	7274.0	2.0	1.0	1.0	17.0	183.0	130.0	1.0	5.0		2.0	3.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1986	193785.0		15044.0	4028.0	1840.0	2173.0	15.0	11016.0	3533.0	7483.0				1.0	91.0	89.0		3.0		3.0	8.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1987	185048.0		15502.0	3665.0	1595.0	2054.0	16.0	11836.0	3944.0	7892.0	1.0	1.0		7.0	120.0	111.0		2.0		5.0	5.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1988	182295.0		15308.0	2722.0	865.0	1844.0	13.0	12284.0	3883.0	8401.0	302.0		302.0	6.0	112.0	108.0	2.0	2.0		9.0	4.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1989	185438.0		14004.0	3173.0	778.0	2388.0	7.0	10426.0	2445.0	7981.0	405.0		405.0	11.0	94.0	92.0	1.0			7.0	7.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1990	184228.0		13883.0	3559.0	933.0	2615.0	11.0	10108.0	2639.0	7469.0	216.0		216.0	21.0	65.0	56.0		1.0		40.0	4.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1991	166172.0		14425.0	3818.0	1056.0	2753.0	9.0	10316.0	2995.0	7321.0	291.0		291.0	18.0	64.0	48.0	2.0	1.0		32.0	5.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1992	150765.0		14527.0	3553.0	1119.0	2424.0	10.0	10712.0	3277.0	7435.0	262.0	2.0	260.0	14.0	115.0	88.0		4.0		29.0	17.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1993	139723.0		13996.0	3977.0	1395.0	2572.0	10.0	9869.0	3267.0	6602.0	150.0	2.0	148.0	15.0	65.0	59.0		10.0		33.0	17.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1994	135100.0		13538.0	4214.0	1567.0	2637.0	10.0	9316.0	3141.0	6175.0	8.0	7.0	1.0	5.0	51.0	43.0		6.0		14.0	23.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1995	127596.0	12738.0	12696.0	4370.0	1612.0	2752.0	6.0	8315.0	2634.0	5681.0	11.0	6.0	5.0	8.0	34.0	28.0		10.0		44.0	21.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1996	124950.0	11627.0	11600.0	4359.0	1588.0	2760.0	11.0	7241.0	2540.0	4701.0				6.0	21.0	16.0		7.0		45.0	26.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1997	122451.0	11004.0	10988.0	4378.0	1751.0	2619.0	8.0	6610.0	2331.0	4279.0				4.0	12.0	11.0		10.0		18.0	18.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1998	135200.0	11413.0	11394.0	4114.0	1831.0	2277.0	6.0	7280.0	2450.0	4830.0				3.0	16.0	15.0		4.0		4.0	10.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
1999	137100.0	11270.0	11260.0	3686.0	1659.0	2017.0	10.0	7574.0	2600.0	4974.0				4.0	6.0	5.0		4.0	1.0	5.0	12.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
2000	127800.0	11718.0	11704.0	4435.0	1892.0	2530.0	13.0	7269.0	2790.0	4479.0					14.0	10.0		2.0		1.0	19.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
2001	122905.0	10094.0	10081.0	3666.0	1521.0	2142.0	3.0	6415.0	2416.0	3999.0				3.0	10.0	10.0		1.0			18.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
2002	126537.0	12033.0	12016.0	4431.0	2150.0	2272.0	9.0	7585.0	2842.0	4743.0					15.0	14.0	2.0	5.0		2.0	29.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
2003	127498.0	11414.0	11397.0	4092.0	1978.0	2103.0	11.0	7305.0	2805.0	4500.0					17.0	13.0		3.0			27.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
2004	129488.0	11975.0	11946.0	4199.0	2070.0	2120.0	9.0	7747.0	2847.0	4900.0					29.0	25.0		1.0			20.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
2005	132104.0	11348.0	11333.0	3812.0	1706.0	2100.0	6.0	7511.0	2811.0	4700.0	10.0		10.0	1.0	14.0	13.0		3.0			18.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
2006	134210.0	11372.0	11355.0	3610.0	1800.0	1800.0	10.0	7745.0	3185.0	4560.0					17.0	15.0		1.0			18.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
2007	130000.0	10437.0	10425.0	3420.0	1810.0	1596.0	14.0	7004.0	2604.0	4400.0	1.0	1.0		1.0	11.0	11.0				2.0	10.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
2008	124761.0	10907.0	10900.0	3644.0	1890.0	1742.0	12.0	7244.0	2609.0	4635.0	12.0		12.0	1.0	6.0	5.0				3.0	6.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
2009	135448.0	11418.0	11413.0	4054.0	2038.0	2009.0	7.0	7335.0	2633.0	4702.0	24.0	8.0	16.0		5.0	5.0		1.0		11.0	6.0	鳥取	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117975&fileKind=0
