year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	82357.0		3969.0	352.0	183.0	168.0	1.0	3615.0	2796.0	819.0	2.0		2.0		161.0	2.0		3.0		84.0	67.0	東京	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117957&fileKind=0
1986	77006.0		4239.0	321.0	108.0	213.0		3901.0	2304.0	1597.0	17.0		17.0	1.0	116.0	11.0		4.0		69.0	54.0	東京	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117957&fileKind=0
1987	70112.0		5277.0	381.0	157.0	224.0		4894.0	3119.0	1775.0	2.0	2.0			96.0			4.0		122.0	51.0	東京	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117957&fileKind=0
1988	66837.0		4029.0	321.0	143.0	176.0	2.0	3704.0	2362.0	1342.0	4.0	2.0	2.0		55.0	4.0		9.0		114.0	43.0	東京	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117957&fileKind=0
1989	44193.0		3498.0	372.0	111.0	261.0		3121.0	2067.0	1054.0	5.0		5.0	1.0	32.0	1.0		4.0	1.0	94.0	38.0	東京	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117957&fileKind=0
1990	27232.0		3306.0	520.0	193.0	327.0		2620.0	1681.0	939.0	166.0		166.0		21.0			25.0		116.0	51.0	東京	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117957&fileKind=0
1991	24629.0		2705.0	345.0	117.0	228.0		2244.0	1462.0	782.0	116.0		116.0		58.0	32.0		16.0		115.0	58.0	東京	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117957&fileKind=0
1992	19678.0		3229.0	746.0	256.0	489.0	1.0	2072.0	1513.0	559.0	411.0	1.0	410.0	2.0	121.0	9.0		50.0		100.0	66.0	東京	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117957&fileKind=0
1993	17978.0		3223.0	794.0	413.0	381.0		2235.0	1638.0	597.0	194.0		194.0	1.0	21.0	7.0		48.0		105.0	36.0	東京	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117957&fileKind=0
1994	16108.0		2593.0	731.0	406.0	325.0		1862.0	1366.0	496.0					37.0	11.0		52.0		95.0	57.0	東京	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117957&fileKind=0
