year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	243058.0		29205.0	13428.0	5760.0	7642.0	26.0	15777.0	8925.0	6852.0				55.0	371.0	291.0		163.0		30.0	22.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1986	241315.0		28675.0	13588.0	5596.0	7977.0	15.0	15039.0	9107.0	5932.0	48.0		48.0	39.0	278.0	190.0		174.0		27.0	19.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1987	241722.0		29340.0	13178.0	5761.0	7404.0	13.0	15991.0	9611.0	6380.0	171.0		171.0	39.0	193.0	139.0		122.0		71.0	28.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1988	239549.0		28421.0	13099.0	5845.0	7247.0	7.0	15024.0	9164.0	5860.0	298.0	10.0	288.0	21.0	97.0	63.0		108.0		90.0	17.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1989	245149.0		25880.0	12053.0	5069.0	6974.0	10.0	13516.0	9128.0	4388.0	311.0	9.0	302.0	33.0	71.0	44.0	1.0	105.0		135.0	16.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1990	239113.0		25039.0	11780.0	4786.0	6982.0	12.0	12954.0	8497.0	4457.0	305.0	15.0	290.0	23.0	64.0	36.0	1.0	95.0		188.0	52.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1991	216716.0		23799.0	10950.0	4800.0	6141.0	9.0	12509.0	7800.0	4709.0	340.0	14.0	326.0	16.0	42.0	20.0		71.0		125.0	17.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1992	209014.0		23692.0	11559.0	5109.0	6431.0	19.0	11927.0	7118.0	4809.0	206.0	56.0	150.0	22.0	42.0	17.0		51.0		143.0	12.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1993	196439.0		23017.0	11961.0	5490.0	6458.0	13.0	10993.0	6660.0	4333.0	63.0	24.0	39.0	13.0	35.0	17.0	1.0	54.0	1.0	132.0	5.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1994	188348.0		22863.0	12076.0	5334.0	6735.0	7.0	10772.0	6627.0	4145.0	15.0	10.0	5.0	33.0	55.0	27.0		110.0	1.0	85.0	5.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1995	177818.0	22531.0	22474.0	12241.0	5377.0	6855.0	9.0	10226.0	6326.0	3900.0	7.0	3.0	4.0	22.0	35.0	19.0		31.0		112.0	5.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1996	165895.0	21433.0	21412.0	12551.0	5434.0	7097.0	20.0	8861.0	5187.0	3674.0				15.0	6.0	3.0		12.0		66.0	4.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1997	177486.0	20765.0	20741.0	12319.0	5403.0	6903.0	13.0	8421.0	5003.0	3418.0	1.0		1.0	12.0	12.0	3.0		14.0		84.0	3.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1998	182133.0	20988.0	20963.0	12520.0	4910.0	7603.0	7.0	8429.0	5333.0	3096.0	14.0	9.0	5.0	15.0	10.0	9.0		16.0		78.0	8.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
1999	179606.0	20546.0	20526.0	12304.0	4629.0	7658.0	17.0	8220.0	5290.0	2930.0	2.0	2.0		13.0	7.0	1.0		10.0		48.0	8.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
2000	186053.0	19578.0	19551.0	12698.0	4735.0	7942.0	21.0	6849.0	4617.0	2232.0	4.0	3.0	1.0	18.0	9.0			77.0		90.0	1.0	岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
2001	187086.0	18222.0	18194.0	12654.0	4288.0	8345.0	21.0	5538.0	3914.0	1624.0	2.0	1.0	1.0	23.0	5.0	2.0		98.0		77.0		岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
2002	177344.0	18080.0	18077.0	13029.0	4353.0	8670.0	6.0	5048.0	3495.0	1553.0				1.0	2.0			19.0		45.0		岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
2003	172962.0	17532.0	17522.0	12863.0	4368.0	8492.0	3.0	4659.0	3374.0	1285.0				2.0	8.0	4.0		14.0		64.0		岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
2004	175129.0	17176.0	17156.0	13094.0	4703.0	8381.0	10.0	4053.0	3002.0	1051.0	9.0	6.0	3.0	2.0	18.0	16.0		15.0		87.0		岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
2005	169695.0	16384.0	16369.0	12825.0	4281.0	8538.0	6.0	3526.0	2497.0	1029.0	18.0	9.0	9.0	2.0	13.0	11.0		7.0		57.0		岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
2006	168175.0	15884.0	15871.0	12482.0	3506.0	8975.0	1.0	3363.0	2610.0	753.0	26.0	11.0	15.0	2.0	11.0	8.0		3.0		58.0		岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
2007	175999.0	16844.0	16829.0	13277.0	3665.0	9612.0		3508.0	2672.0	836.0	44.0	7.0	37.0	2.0	13.0	8.0		13.0		41.0		岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
2008	174521.0	17327.0	17312.0	13679.0	3948.0	9731.0		3617.0	2750.0	867.0	16.0	7.0	9.0	1.0	14.0	7.0		1.0		22.0		岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
2009	192415.0	16431.0	16420.0	13297.0	3792.0	9504.0	1.0	3114.0	2108.0	1006.0	9.0	5.0	4.0	4.0	7.0	4.0		504.0		19.0		岐阜	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117965&fileKind=0
