year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	441144.0		39895.0	13639.0	5636.0	7927.0	76.0	26216.0	14112.0	12104.0	40.0	20.0	20.0	13.0	474.0	164.0		607.0		799.0	88.0	長野	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117964&fileKind=0
1986	430472.0		39408.0	13695.0	5425.0	8181.0	89.0	25400.0	12534.0	12857.0	313.0	34.0	279.0	11.0	380.0	129.0	1.0	431.0	1.0	921.0	59.0	長野	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117964&fileKind=0
1987	409443.0		39534.0	12977.0	5131.0	7717.0	129.0	25943.0	12369.0	13574.0	614.0	28.0	586.0	21.0	206.0	93.0		296.0		1072.0	183.0	長野	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117964&fileKind=0
1988	384673.0		37501.0	12706.0	4855.0	7838.0	13.0	23718.0	12219.0	11499.0	1077.0	118.0	959.0	23.0	152.0	70.0		227.0		1018.0	27.0	長野	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117964&fileKind=0
1989	376648.0		36680.0	13887.0	5600.0	8281.0	6.0	22561.0	11420.0	11141.0	232.0	20.0	212.0	25.0	131.0	47.0		252.0	2.0	1119.0	20.0	長野	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117964&fileKind=0
1990	353207.0		37491.0	15010.0	5668.0	9330.0	12.0	21771.0	11221.0	10550.0	710.0	87.0	623.0	20.0	130.0	42.0		209.0		1160.0	30.0	長野	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117964&fileKind=0
1991	315622.0		36281.0	15108.0	5946.0	9157.0	5.0	20477.0	10809.0	9668.0	696.0	94.0	602.0	15.0	103.0	30.0		244.0		1052.0	19.0	長野	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117964&fileKind=0
1992	281203.0		35308.0	16785.0	5796.0	10985.0	4.0	17906.0	9921.0	7985.0	617.0	52.0	565.0	23.0	98.0	14.0		251.0	1.0	795.0	15.0	長野	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117964&fileKind=0
1993	261469.0		33189.0	15925.0	6218.0	9698.0	9.0	16759.0	9978.0	6781.0	505.0	89.0	416.0	16.0	88.0	11.0		387.0	2.0	686.0	26.0	長野	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117964&fileKind=0
1994	242385.0		32962.0	15509.0	6546.0	8959.0	4.0	16968.0	10525.0	6443.0	485.0	70.0	415.0	16.0	88.0	5.0		499.0		609.0	12.0	長野	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117964&fileKind=0
1995	222050.0	32331.0	32243.0	15432.0	6380.0	9049.0	3.0	16477.0	10200.0	6277.0	334.0	50.0	284.0	14.0	74.0	5.0		641.0	2.0	509.0	10.0	長野	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117964&fileKind=0
