year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	578921.0		22829.0	2186.0	1030.0	1155.0	1.0	20642.0	13919.0	6723.0	1.0		1.0	5.0	908.0	212.0		134.0	1.0	3.0	7.0	埼玉	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117955&fileKind=0
1986	567612.0		22824.0	1955.0	945.0	1009.0	1.0	20868.0	13487.0	7381.0	1.0		1.0	5.0	414.0	105.0		117.0		15.0	3.0	埼玉	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117955&fileKind=0
1987	562562.0		21929.0	1873.0	867.0	1004.0	2.0	19934.0	12680.0	7254.0	122.0	2.0	120.0		402.0	124.0		81.0		15.0	9.0	埼玉	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117955&fileKind=0
1988	499020.0		21324.0	2379.0	838.0	1541.0		18932.0	12316.0	6616.0	13.0		13.0	2.0	320.0	142.0		57.0	2.0	26.0	3.0	埼玉	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117955&fileKind=0
1989	488401.0		20448.0	1666.0	470.0	1196.0		18765.0	12032.0	6733.0	17.0	4.0	13.0	3.0	252.0	111.0		55.0		25.0		埼玉	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117955&fileKind=0
1990	466525.0		20094.0	1309.0	468.0	838.0	3.0	18544.0	9254.0	9290.0	241.0		241.0	7.0	225.0	84.0		64.0		38.0		埼玉	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117955&fileKind=0
1991	415761.0		18935.0	1783.0	771.0	1012.0		17093.0	10331.0	6762.0	59.0	1.0	58.0	9.0	222.0	92.0		56.0		28.0	1.0	埼玉	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117955&fileKind=0
1992	394282.0		22769.0	1735.0	863.0	872.0		20874.0	12828.0	8046.0	160.0	1.0	159.0	12.0	150.0	58.0		67.0	2.0	33.0	3.0	埼玉	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117955&fileKind=0
1993	405926.0		20383.0	1847.0	1003.0	842.0	2.0	18509.0	9231.0	9278.0	27.0	12.0	15.0	8.0	112.0	36.0	5.0	77.0		33.0	2.0	埼玉	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117955&fileKind=0
1994	392827.0		20698.0	3170.0	700.0	2466.0	4.0	17510.0	8135.0	9375.0	18.0	7.0	11.0	18.0	153.0	84.0		106.0		24.0	4.0	埼玉	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117955&fileKind=0
