year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	26583.0		4320.0	684.0	336.0	348.0		3636.0	1973.0	1663.0												福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1986	27038.0		3845.0	600.0	338.0	262.0		3245.0	1829.0	1416.0					15.0	7.0					3.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1987	21286.0		3491.0	646.0	307.0	337.0	2.0	2845.0	1561.0	1284.0					10.0	8.0					7.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1988	17560.0		3168.0	397.0	166.0	229.0	2.0	2768.0	1526.0	1242.0	3.0		3.0		5.0	1.0				1.0	7.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1989	14392.0		3054.0	487.0	195.0	290.0	2.0	2567.0	1537.0	1030.0					9.0	5.0					9.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1990	14349.0		2851.0	565.0	195.0	370.0		2286.0	1175.0	1111.0											7.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1991	13482.0		3512.0	862.0	352.0	510.0		2649.0	1567.0	1082.0	1.0	1.0		1.0	10.0	2.0				6.0	8.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1992	13552.0		3353.0	848.0	359.0	488.0	1.0	2505.0	1360.0	1145.0				3.0	1.0	1.0					9.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1993	12121.0		3219.0	988.0	431.0	556.0	1.0	2231.0	1257.0	974.0				4.0	10.0	3.0				3.0	8.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1994	10844.0		3009.0	1042.0	414.0	628.0		1967.0	1041.0	926.0					6.0	6.0				2.0	5.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1995	11661.0	2955.0	2950.0	1030.0	445.0	584.0	1.0	1920.0	936.0	984.0					5.0	5.0				6.0		福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1996	11350.0	2664.0	2664.0	1013.0	449.0	564.0		1651.0	707.0	944.0											4.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1997	11696.0	2493.0	2490.0	1005.0	434.0	571.0		1485.0	593.0	892.0				1.0	2.0	2.0				6.0		福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1998	11225.0	3033.0	3031.0	1150.0	369.0	780.0	1.0	1881.0	810.0	1071.0					2.0	1.0					1.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
1999	10530.0	2883.0	2882.0	936.0	380.0	554.0	2.0	1946.0	903.0	1043.0					1.0	1.0					1.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
2000	10460.0	3001.0	3001.0	1138.0	314.0	824.0		1863.0	831.0	1032.0										2.0	1.0	福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
2001	9717.0	2441.0	2437.0	885.0	281.0	604.0		1552.0	751.0	801.0					4.0					10.0		福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
2002	9187.0	2783.0	2778.0	987.0	340.0	647.0		1791.0	931.0	860.0					5.0	5.0						福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
2003	9748.0	2617.0	2613.0	881.0	322.0	559.0		1732.0	874.0	858.0					4.0	4.0		9.0		2.0		福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
2004	9853.0	2809.0	2805.0	1049.0	351.0	698.0		1756.0	919.0	837.0				3.0	1.0							福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
2005	9301.0	2637.0	2636.0	1002.0	394.0	608.0		1634.0	819.0	815.0					1.0	1.0						福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
2006	8930.0	2466.0	2465.0	833.0	319.0	514.0		1631.0	906.0	725.0	1.0		1.0		1.0							福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
2007	9672.0	2400.0	2395.0	820.0	247.0	572.0	1.0	1575.0	846.0	729.0					5.0	1.0						福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
2008	8777.0	2377.0	2373.0	835.0	297.0	538.0		1538.0	884.0	654.0					4.0	2.0						福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
2009	8315.0	2243.0	2231.0	812.0	252.0	560.0		1418.0	735.0	683.0	1.0		1.0		12.0	8.0						福井	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117962&fileKind=0
