year	pig	cattle	adult_cattle	wagyu	wagyu_heifer	wagyu_steer	wagyu_bull	dairy_cattle	dairy_cow	dairy_fattening_bull	other	other_cow	other_bull	calf_wagyu	calf_dairy	calf_dairy_fattening_bull	calf_other	horse	foal	sheep	goat	prefecture	source_url
1985	1950835.0		40306.0	18917.0	7878.0	11017.0	22.0	21382.0	12910.0	8472.0	7.0	1.0	6.0	38.0	2602.0	398.0	1.0	27.0		17.0	20.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1986	1870708.0		41183.0	19059.0	8029.0	11007.0	23.0	22116.0	13746.0	8370.0	8.0	4.0	4.0	34.0	2824.0	545.0	6.0	16.0		10.0	3.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1987	1875757.0		40809.0	18440.0	7335.0	11056.0	49.0	21978.0	13695.0	8283.0	391.0	3.0	388.0	23.0	2720.0	767.0	3.0	7.0		15.0	8.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1988	1844066.0		40223.0	16758.0	6258.0	10452.0	48.0	23028.0	14504.0	8524.0	437.0	17.0	420.0	23.0	2205.0	773.0	1.0	13.0	1.0	39.0	10.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1989	1864872.0		40368.0	17650.0	6265.0	11342.0	43.0	22179.0	12988.0	9191.0	539.0	8.0	531.0	47.0	1585.0	620.0		6.0		34.0	4.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1990	1689787.0		38166.0	18336.0	6761.0	11551.0	24.0	19513.0	11164.0	8349.0	317.0	20.0	297.0	39.0	1548.0	573.0	2.0	10.0	1.0	25.0	6.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1991	1503385.0		38680.0	19794.0	7424.0	12336.0	34.0	18435.0	11369.0	7066.0	451.0	43.0	408.0	56.0	1789.0	545.0	3.0	12.0		17.0	4.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1992	1408867.0		36727.0	19528.0	7252.0	12213.0	63.0	17011.0	10622.0	6389.0	188.0	10.0	178.0	42.0	1796.0	802.0		16.0		19.0	5.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1993	1377409.0		39226.0	21300.0	7952.0	13315.0	33.0	17555.0	11210.0	6345.0	371.0	26.0	345.0	48.0	1498.0	643.0	4.0	27.0		13.0	10.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1994	1356156.0		38444.0	21534.0	8117.0	13298.0	119.0	16654.0	10604.0	6050.0	256.0	59.0	197.0	38.0	1582.0	540.0	2.0	36.0		28.0	20.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1995	1233140.0	38986.0	37525.0	21070.0	8650.0	12392.0	28.0	16382.0	10502.0	5880.0	73.0	26.0	47.0	26.0	1435.0	584.0		38.0		27.0	21.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1996	1200912.0	36605.0	35465.0	20749.0	8938.0	11803.0	8.0	14677.0	9744.0	4933.0	39.0	14.0	25.0	43.0	1097.0	531.0		42.0		22.0	18.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1997	1190711.0	39412.0	38268.0	22727.0	9830.0	12878.0	19.0	15539.0	10415.0	5124.0	2.0	1.0	1.0	89.0	1055.0	433.0		31.0		16.0	17.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1998	1219885.0	37282.0	35736.0	18987.0	7917.0	11059.0	11.0	16724.0	10632.0	6092.0	25.0	2.0	23.0	74.0	1472.0	574.0		26.0		7.0	9.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
1999	1211162.0	38634.0	37378.0	20176.0	8240.0	11920.0	16.0	17184.0	10730.0	6454.0	18.0		18.0	213.0	1043.0	791.0		18.0		9.0	6.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
2000	1196976.0	39674.0	38689.0	20744.0	8818.0	11926.0		17940.0	11157.0	6783.0	5.0	2.0	3.0	118.0	864.0	687.0	3.0	31.0		45.0	24.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
2001	1138439.0	33617.0	32599.0	17772.0	7166.0	10595.0	11.0	14826.0	9245.0	5581.0	1.0		1.0	94.0	918.0	845.0	6.0	29.0		8.0	2.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
2002	1125715.0	37260.0	36520.0	16102.0	5920.0	10180.0	2.0	20410.0	9738.0	10672.0	8.0		8.0	27.0	712.0	665.0	1.0	22.0		3.0		茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
2003	1186967.0	32425.0	32149.0	12499.0	4244.0	8248.0	7.0	19649.0	8710.0	10939.0	1.0		1.0	12.0	264.0	201.0		25.0		5.0		茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
2004	1178867.0	32616.0	32483.0	12388.0	3850.0	8528.0	10.0	20095.0	10150.0	9945.0				14.0	119.0	73.0		24.0		3.0	1.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
2005	1171667.0	32239.0	32011.0	12150.0	3706.0	8442.0	2.0	19834.0	9976.0	9858.0	27.0	5.0	22.0	5.0	223.0	165.0		12.0				茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
2006	1145243.0	30480.0	30365.0	11928.0	3344.0	8575.0	9.0	18194.0	9846.0	8348.0	243.0	26.0	217.0	5.0	110.0	95.0		14.0			2.0	茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
2007	1181425.0	30753.0	30555.0	11593.0	3237.0	8354.0	2.0	18656.0	9649.0	9007.0	306.0	43.0	263.0	3.0	195.0	129.0		7.0				茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
2008	1155633.0	31696.0	31378.0	12416.0	4230.0	8180.0	6.0	18591.0	9038.0	9553.0	371.0	35.0	336.0	8.0	303.0	236.0	7.0	5.0				茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
2009	1224567.0	32775.0	32507.0	13847.0	4885.0	8961.0	1.0	18510.0	9103.0	9407.0	150.0		150.0	4.0	263.0	249.0	1.0	7.0				茨城	https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032117952&fileKind=0
